legacy_id,canonical_id,object_type,note
D01-DOC-DDE-001,D01-DOC-DDE-001,artifact,ID de origem já em formato canônico; preservado sem alteração.
D01-DOC-TAP-001,D01-DOC-TAP-001,artifact,ID de origem já em formato canônico; preservado sem alteração.
D01-DOC-MNE-001,D01-DOC-MNE-001,artifact,ID de origem já em formato canônico; preservado sem alteração.
D01-DOC-MRE-001,D01-DOC-MRE-001,artifact,ID de origem já em formato canônico; preservado sem alteração.
D02-DOC-DGRC-001,D02-DOC-DGRC-001,artifact,ID de origem já em formato canônico; preservado sem alteração.
D02-DOC-MRC-001,D02-DOC-MRC-001,artifact,ID de origem já em formato canônico; preservado sem alteração.
D02-DOC-PPT-001,D02-DOC-PPT-001,artifact,ID de origem já em formato canônico; preservado sem alteração.
D03-DOC-PFO-001,D03-DOC-PFO-001,artifact,ID de origem já em formato canônico; preservado sem alteração.
D03-DOC-MFO-001,D03-DOC-MFO-001,artifact,ID de origem já em formato canônico; preservado sem alteração.
D04-DOC-PPC-001,D04-DOC-PPC-001,artifact,ID de origem já em formato canônico; preservado sem alteração.
D05-DOC-EPGD-001,D05-DOC-EPGD-001,artifact,ID de origem já em formato canônico; preservado sem alteração.
D05-DOC-DCM-001,D05-DOC-DCM-001,artifact,ID de origem já em formato canônico; preservado sem alteração.
D06-DOC-EGC-001,D06-DOC-EGC-001,artifact,ID de origem já em formato canônico; preservado sem alteração.
D06-DOC-RMI-001,D06-DOC-RMI-001,artifact,ID de origem já em formato canônico; preservado sem alteração.
D07-DOC-PEX-001,D07-DOC-PEX-001,artifact,ID de origem já em formato canônico; preservado sem alteração.
D07-DOC-PIM-001,D07-DOC-PIM-001,artifact,ID de origem já em formato canônico; preservado sem alteração.
D08-DOC-MOP-001,D08-DOC-MOP-001,artifact,ID de origem já em formato canônico; preservado sem alteração.
D08-DOC-RUN-001,D08-DOC-RUN-001,artifact,ID de origem já em formato canônico; preservado sem alteração.
D09-DOC-PPE-001,D09-DOC-PPE-001,artifact,ID de origem já em formato canônico; preservado sem alteração.
D09-DOC-DEB-001,D09-DOC-DEB-001,artifact,ID de origem já em formato canônico; preservado sem alteração.
D10-DOC-DRP-001,D10-DOC-DRP-001,artifact,ID de origem já em formato canônico; preservado sem alteração.
D10-DOC-PRD-001,D10-DOC-PRD-001,artifact,ID de origem já em formato canônico; preservado sem alteração.
D11-DOC-EEP-001,D11-DOC-EEP-001,artifact,ID de origem já em formato canônico; preservado sem alteração.
D11-DOC-DSI-001,D11-DOC-DSI-001,artifact,ID de origem já em formato canônico; preservado sem alteração.
D12-DOC-ETE-001,D12-DOC-ETE-001,artifact,ID de origem já em formato canônico; preservado sem alteração.
D13-DOC-DRM-001,D13-DOC-DRM-001,artifact,ID de origem já em formato canônico; preservado sem alteração.
D13-DOC-GTM-001,D13-DOC-GTM-001,artifact,ID de origem já em formato canônico; preservado sem alteração.
D14-DOC-PCV-001,D14-DOC-PCV-001,artifact,ID de origem já em formato canônico; preservado sem alteração.
D15-DOC-PASC-001,D15-DOC-PASC-001,artifact,ID de origem já em formato canônico; preservado sem alteração.
D16-DOC-PEM-001,D16-DOC-PEM-001,artifact,ID de origem já em formato canônico; preservado sem alteração.
D17-DOC-PEP-001,D17-DOC-PEP-001,artifact,ID de origem já em formato canônico; preservado sem alteração.
D18-DOC-PCE-001,D18-DOC-PCE-001,artifact,ID de origem já em formato canônico; preservado sem alteração.
D19-DOC-PAC-001,D19-DOC-PAC-001,artifact,ID de origem já em formato canônico; preservado sem alteração.
D20-DOC-PPR-001,D20-DOC-PPR-001,artifact,ID de origem já em formato canônico; preservado sem alteração.
D21-DOC-PWB-001,D21-DOC-PWB-001,artifact,ID de origem já em formato canônico; preservado sem alteração.
D22-DOC-DRL-001,D22-DOC-DRL-001,artifact,ID de origem já em formato canônico; preservado sem alteração.
D23-DOC-PBL-001,D23-DOC-PBL-001,artifact,ID de origem já em formato canônico; preservado sem alteração.
